timestamp,ttl,ip,hostname,asn
1684180624,1,192.168.1.1,???,
1684180624,2,100.64.0.1,???,
1684180624,3,172.16.251.90,???,
1684180624,4,206.224.65.208,undefined.hostname.localhost,14593
1684180624,5,206.224.65.192,undefined.hostname.localhost,14593
1684180624,6,213.144.184.30,???,6762
1684180624,7,4.68.63.109,ae-16.edge8.Frankfurt1.Level3.net,3356
1684180624,8,200.189.212.166,166.212.189.200.sta.impsat.net.br,3549
1684180624,9,140.91.208.11,???,31898
1684180624,10,129.148.16.0,???,31898
