timestamp,ttl,ip,hostname,asn
1684120971,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684120971,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684120971,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684120971,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684120971,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684120971,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684120971,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075
1684120971,8,104.44.20.186,be-100-0.ibr01.fra23.ntwk.msn.net,8075
1684120971,9,104.44.16.140,be-2-0.ibr01.zrh21.ntwk.msn.net,8075
1684120971,10,104.44.30.67,be-10-0.ibr01.gva20.ntwk.msn.net,8075
1684120971,11,104.44.29.68,be-7-0.ibr01.mrs21.ntwk.msn.net,8075
1684120971,12,104.44.28.163,be-21-0.ibr01.mrs20.ntwk.msn.net,8075
1684120971,13,104.44.28.184,be-19-0.ibr01.sin30.ntwk.msn.net,8075
1684120971,14,*,*,*
1684120971,15,104.44.19.147,be-1-0.ibr01.per01.ntwk.msn.net,8075
1684120971,16,104.44.19.156,be-4-0.ibr01.mel01.ntwk.msn.net,8075
1684120971,17,104.44.11.156,ae100-0.icr01.mel01.ntwk.msn.net,8075
1684120971,18,*,*,*
1684120971,19,*,*,*
1684120971,20,*,*,*
1684120971,21,*,*,*
1684120971,22,*,*,*
1684120971,23,*,*,*
1684120971,24,*,*,*
1684120971,25,*,*,*
1684120971,26,*,*,*
1684120971,27,*,*,*
1684120971,28,*,*,*
1684120971,29,*,*,*
