timestamp,ttl,ip,hostname,asn
1683985960,1,192.168.1.1,???,
1683985960,2,100.64.0.1,???,
1683985960,3,172.16.251.90,???,
1683985960,4,206.224.65.204,undefined.hostname.localhost,14593
1683985960,5,206.224.65.180,undefined.hostname.localhost,14593
1683985960,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683985960,7,*,*,*
1683985960,8,154.54.37.29,be2846.ccr42.fra03.atlas.cogentco.com,174
1683985960,9,154.54.58.238,be2800.ccr42.par01.atlas.cogentco.com,174
1683985960,10,154.54.72.226,be2780.ccr32.mrs02.atlas.cogentco.com,174
1683985960,11,154.54.6.26,be2900.ccr21.hkg02.atlas.cogentco.com,174
1683985960,12,154.18.5.98,amazon.demarc.cogentco.com,174
1683985960,13,52.93.157.224,???,
1683985960,14,52.93.35.51,???,
1683985960,15,*,*,*
1683985960,16,54.239.122.188,???,16509
1683985960,17,*,*,*
1683985960,18,*,*,*
1683985960,19,54.239.122.65,???,16509
1683985960,20,54.239.122.4,???,16509
1683985960,21,*,*,*
1683985960,22,*,*,*
1683985960,23,*,*,*
1683985960,24,*,*,*
1683985960,25,*,*,*
1683985960,26,*,*,*
1683985960,27,*,*,*
1683985960,28,*,*,*
1683985960,29,*,*,*
